STATECD,COUNTYCD,FIADBPLOT,LAT,LON
41,1,91729,45.01349,-117.164
41,19,50148,43.45165,-123.319
41,19,53583,43.58093,-123.512
41,19,59154,43.75429,-123.206
41,19,68136,43.44063,-123.167
41,19,77793,43.4291,-122.815
41,19,84407,43.39354,-122.29
41,23,58079,44.93074,-118.524
41,39,72255,43.85989,-122.379
41,39,96531,43.62877,-123.107
41,43,83001,44.26819,-122.953
41,39,57557,43.87865,-122.071
41,39,58260,43.82378,-123.162
41,39,60159,43.68987,-122.982
41,39,60784,43.78101,-122.48
41,39,64000,43.87465,-122.959
41,39,66247,43.82741,-123.364
41,39,67392,43.51132,-122.585
41,39,71924,43.51384,-122.657
41,39,73157,43.70778,-122.658
41,39,73341,43.58652,-122.292
41,39,75374,43.92748,-122.548
41,39,77026,43.92131,-124.06
41,39,77313,44.07947,-122.558
41,39,81496,44.23262,-124.103
41,39,85516,44.01103,-123.538
41,39,86709,43.68251,-122.215
41,39,93632,44.07939,-124.056
41,39,93743,44.21869,-122.758
41,39,95893,43.87137,-123.2
41,39,97227,44.28641,-123.923
41,39,97792,44.02538,-122.75
41,41,68841,44.47439,-124.0
41,41,73641,44.84431,-123.747
41,41,83403,45.00677,-123.988
41,41,85772,44.51717,-123.717
41,43,55070,44.37819,-122.443
41,43,71497,44.318,-122.827
41,43,75059,44.61237,-122.341
41,43,77288,44.56132,-122.471
41,43,81185,44.25161,-122.58
41,43,87134,44.71283,-122.474
41,43,92581,44.27795,-122.282
41,47,63087,45.25349,-122.825
41,57,74202,45.60033,-123.382
41,57,81111,45.25563,-123.651
41,57,82822,45.06165,-123.936
41,65,70094,45.0564,-121.649
41,3,54604,44.57127,-123.369
41,3,72239,44.31912,-123.436
41,3,82938,44.3306,-123.633
41,5,64549,45.20228,-122.273
41,5,73317,45.20584,-122.541
41,5,78675,45.30355,-122.473
41,5,94593,45.20818,-121.92
41,7,95388,45.9464,-123.588
41,9,80961,45.79628,-123.029
41,11,59084,42.81759,-123.826
41,11,62090,43.02067,-124.0
41,15,55215,42.61828,-124.299
41,19,50007,43.2829,-122.021
41,19,53972,43.92815,-123.701
41,19,55210,43.04614,-122.906
41,19,56238,43.78262,-123.706
41,19,60508,43.28939,-123.576
41,19,61343,43.37738,-123.099
41,19,64358,43.47882,-123.782
41,19,70337,42.94548,-122.697
41,19,76638,42.99769,-123.186
41,19,82421,43.71856,-123.158
41,19,85319,43.09465,-122.696
41,19,86406,43.53632,-122.941
41,19,94137,42.96769,-122.737
41,19,97910,43.62246,-124.173
41,27,83552,45.69081,-121.482
41,29,64781,42.8025,-122.368
41,39,52062,43.63025,-122.147
41,39,52570,44.03157,-122.717
41,39,52904,43.73605,-122.361
41,1,53005,44.76273,-118.262
41,1,83747,44.75442,-117.926
41,3,56306,44.41822,-123.443
41,3,60765,44.36601,-123.572
41,3,67697,44.58452,-123.463
41,5,64014,44.9661,-122.339
41,5,72129,45.01279,-122.198
41,5,94944,45.35197,-121.913
41,7,69925,45.79124,-123.889
41,7,72584,45.99724,-123.746
41,7,77060,46.04019,-123.378
41,7,82736,45.84656,-123.526
41,11,75926,43.09169,-123.838
41,19,67782,43.68122,-123.235
41,19,69620,43.28228,-123.038
41,19,74467,43.6774,-123.783
41,19,76802,43.62452,-123.306
41,19,77023,42.80006,-123.444
41,19,81594,43.44268,-123.098
41,19,94171,43.57565,-123.434
41,19,98486,43.90239,-123.679
41,23,50326,44.94533,-118.769
41,23,69340,44.05093,-118.866
41,23,89264,44.26081,-119.049
41,23,90745,44.12423,-118.696
41,25,94353,43.94323,-118.976
41,27,71618,45.40033,-121.565
41,27,78524,45.64901,-121.772
41,33,53097,42.15983,-123.324
41,39,50782,43.81014,-122.968
41,39,52947,43.87738,-123.49
41,39,53391,43.83561,-122.49
41,39,54402,43.85134,-122.312
41,39,54437,43.97542,-122.212
41,39,55513,44.0219,-121.872
41,39,56068,44.17091,-122.691
41,39,59898,43.93967,-123.375
41,39,62482,44.04281,-123.526
41,39,63467,43.83403,-122.657
41,39,67726,44.06479,-123.705
41,39,68704,43.68697,-122.628
41,39,71081,43.87988,-124.021
41,39,74205,44.12761,-122.535
41,39,78635,44.18167,-123.926
41,39,80045,44.00192,-123.848
41,39,89187,44.02718,-122.274
41,41,65832,44.32124,-123.915
41,41,91078,44.37317,-123.783
41,41,97198,45.03817,-123.905
41,41,97502,44.37148,-123.958
41,43,51435,44.3232,-122.746
41,43,88315,44.71587,-122.128
41,47,51004,44.87594,-121.829
41,47,81249,45.06144,-123.033
41,49,77188,45.01013,-119.416
41,49,84115,45.25194,-119.173
41,53,78535,45.00615,-123.724
41,61,67541,45.11919,-118.446
41,65,63615,45.04376,-121.327
41,65,77545,44.85929,-121.646
41,65,84173,45.369,-121.386
41,67,92598,45.73816,-123.347
41,71,58692,45.19266,-123.603
41,71,90086,45.22022,-123.141
41,39,97738,43.90713,-122.793
41,41,55419,44.65102,-123.608
41,43,58695,44.46801,-122.613
41,43,61335,44.5691,-122.068
41,43,86772,44.39646,-122.376
41,43,94176,44.41881,-122.066
41,51,87395,45.54368,-122.238
41,57,73524,45.65121,-123.46
41,59,83498,45.64968,-118.117
41,61,52417,45.15947,-118.09
41,61,56114,45.0562,-117.575
41,65,74572,45.1992,-121.568
41,71,87675,45.12859,-123.713
41,3,59682,44.50189,-123.585
41,3,65152,44.4703,-123.431
41,3,99140,44.31215,-123.571
41,5,60151,45.20674,-122.196
41,5,74892,45.39777,-121.843
41,7,52141,45.94411,-123.385
41,7,52776,46.09035,-123.389
41,19,55254,43.77859,-123.632
41,19,97696,43.43472,-122.296
41,23,67112,44.17951,-118.317
41,23,73815,43.97772,-119.495
41,23,84948,44.69391,-118.883
41,27,61625,45.45045,-121.562
41,27,95586,45.59118,-121.558
41,39,56218,43.73056,-122.62
41,39,64861,43.80908,-122.109
41,39,66015,44.1135,-121.993
41,39,67368,44.03024,-123.155
41,39,71907,43.46298,-122.389
41,39,74729,44.12463,-123.858
41,39,76274,43.93151,-122.497
41,39,77138,43.73071,-123.088
41,39,82609,43.92528,-122.284
41,39,84956,44.08624,-122.513
41,13,75366,44.28532,-120.477
41,13,77506,44.45038,-120.494
41,19,64024,43.57553,-123.371
41,19,64625,43.6634,-123.265
41,19,70046,43.37301,-123.679
41,19,70844,43.2415,-122.4965
41,19,73966,43.14183,-122.359
41,19,80517,43.34033,-123.707
41,19,92080,43.26636,-122.187
41,19,93334,43.73096,-123.42
41,19,97522,43.4829,-122.884
41,23,74370,44.11866,-118.622
41,27,98585,45.39454,-121.501
41,31,50555,44.62058,-120.537
41,39,52997,43.54418,-122.559
41,39,56035,44.07337,-123.989
41,39,56847,43.93048,-123.98
41,39,60443,44.26969,-123.675
41,39,60795,43.97602,-122.418
41,39,61151,44.17477,-123.854
41,39,64419,43.9711,-124.112
41,39,67413,43.58463,-123.035
41,39,68360,43.63627,-122.558
41,39,83634,43.72919,-122.288
41,39,87412,44.26984,-123.856
41,39,89353,43.5506,-123.062
41,39,89447,44.22587,-123.684
41,39,90586,43.68274,-122.565
41,39,94614,43.83369,-122.554
41,39,96875,43.9736,-123.851
41,41,52365,44.46846,-123.928
41,41,60034,44.29656,-123.885
41,41,85351,44.36886,-124.06
41,43,55075,44.36579,-122.622
41,43,63970,44.36563,-121.998
41,43,88878,44.71857,-122.407
41,43,90939,44.22296,-122.349
41,51,65251,45.48408,-122.022
41,57,71028,45.23638,-123.535
41,59,67821,45.79619,-118.115
41,59,74827,45.10121,-119.072
41,61,79413,45.16917,-117.731
41,61,82222,45.59295,-117.937
41,61,96250,45.4071,-118.284
41,65,62905,45.10743,-121.365
41,65,66713,45.0216,-121.60311
41,67,52612,45.74594,-123.323
41,71,54895,45.09758,-123.733
41,71,72313,45.18155,-123.7
41,1,66490,44.9961,-117.377
41,3,58267,44.36699,-123.503
41,3,88586,44.60448,-123.367
41,5,54961,45.20624,-121.777
41,5,55784,45.30903,-121.987
41,5,60634,45.40564,-122.406
41,5,65107,45.18308,-122.128
41,5,75011,45.13776,-122.307
41,5,77205,44.9125,-121.92009
41,5,91736,45.0592,-121.782
41,7,56407,46.16779,-123.539
41,7,91340,45.99406,-123.528
